clean,noisy
19,92
29,71
0,0
11,82
1,74
86,86
90,90
28,28
23,1
31,31
39,39
96,59
82,75
17,17
71,88
39,58
8,91
97,97
80,61
71,71
74,54
59,59
70,70
87,87
59,59
84,84
64,88
52,52
42,42
64,52
8,91
17,17
47,7
65,77
21,49
22,22
81,5
11,3
24,62
84,84
78,78
45,99
49,49
97,97
56,86
76,76
11,11
90,90
89,89
78,78
73,73
14,14
87,87
9,28
71,71
6,70
47,47
20,7
98,10
47,7
36,36
55,55
72,40
43,43
51,51
35,35
83,22
33,33
27,27
53,53
92,34
50,50
15,77
89,89
36,36
18,13
89,89
46,46
33,33
42,76
39,95
64,64
75,95
38,38
23,14
42,42
66,31
77,77
49,49
18,18
46,46
15,5
35,35
69,83
95,95
83,83
75,75
99,99
73,96
93,26
55,55
39,39
4,4
97,71
61,61
93,93
51,51
69,23
56,56
84,95
59,59
64,64
94,57
4,4
11,1
33,33
68,55
38,1
20,20
33,95
34,34
32,1
46,46
53,53
88,88
67,67
70,55
64,37
53,97
64,64
8,8
96,72
87,69
30,30
20,20
30,35
66,18
19,70
76,32
87,38
52,52
62,91
35,35
63,30
40,40
4,15
99,99
63,63
74,74
53,47
26,26
95,95
48,48
27,98
33,33
29,29
39,39
79,79
32,32
46,46
64,64
28,28
85,85
32,32
82,88
78,78
39,81
54,54
28,28
66,66
65,67
72,20
21,7
64,64
62,62
72,72
0,85
44,29
7,7
12,53
19,19
11,11
31,96
61,61
79,79
45,60
81,81
79,79
98,98
43,91
46,46
67,5
80,36
68,68
74,74
48,48
81,81
94,94
86,84
69,32
39,17
73,73
2,2
46,46
49,49
63,31
43,43
14,26
49,89
68,68
65,65
41,41
37,92
45,25
36,36
21,21
77,77
37,37
39,39
8,8
9,9
62,62
86,86
39,39
19,91
54,54
39,39
28,28
11,57
89,89
90,57
90,90
79,41
66,66
81,59
21,7
79,79
40,4
29,29
22,22
13,93
25,25
11,11
38,38
10,10
96,96
54,16
65,18
39,39
40,89
42,42
48,48
48,48
51,51
11,0
23,23
23,47
89,0
52,52
46,46
2,2
95,95
43,43
86,15
34,85
66,77
18,46
46,61
66,66
56,56
57,47
1,1
44,93
11,11
82,68
23,23
90,9
56,56
19,19
68,68
66,66
28,23
1,1
57,57
67,67
5,5
13,13
78,78
6,6
84,60
7,7
41,41
65,32
80,80
12,28
50,94
63,34
26,89
8,25
53,53
60,6
99,74
97,97
85,85
0,0
78,9
31,31
10,10
2,2
7,7
43,95
83,61
97,97
91,54
82,82
28,28
42,16
0,0
82,82
5,12
68,68
60,11
30,30
98,98
82,27
20,20
64,64
66,66
10,10
75,75
54,24
57,57
87,52
66,66
66,66
73,41
54,54
88,88
42,34
37,37
80,17
87,87
3,3
29,29
43,43
12,12
73,73
96,8
23,23
96,96
84,36
19,7
62,64
0,0
21,70
11,11
36,36
64,30
76,76
60,38
3,3
80,80
82,66
79,91
26,26
65,65
72,72
11,11
15,15
31,31
48,62
12,12
91,32
71,5
87,87
77,77
15,15
7,79
58,58
51,51
55,98
85,85
2,46
3,3
89,89
10,10
3,3
11,11
20,20
4,11
48,48
27,75
48,7
7,35
67,67
3,49
65,40
56,26
9,9
44,44
95,83
46,46
83,12
40,40
58,58
87,87
59,59
18,18
48,48
5,5
88,88
26,32
21,21
24,24
53,53
68,25
49,85
89,89
96,96
92,98
7,20
13,5
99,99
49,49
22,22
56,56
67,67
13,13
97,97
6,84
19,19
76,50
65,3
9,31
71,94
63,25
71,71
18,18
55,55
34,64
18,18
0,0
56,56
23,23
75,46
70,70
78,78
45,45
66,66
91,91
25,25
58,58
90,90
29,29
68,68
35,97
54,37
77,77
97,97
0,50
70,70
75,75
60,60
65,65
5,5
58,68
82,82
49,49
61,42
28,22
44,94
56,56
82,82
61,3
43,66
20,20
38,38
85,85
87,87
49,20
85,91
24,21
7,0
88,88
40,45
38,77
72,26
56,46
4,4
81,93
98,47
97,25
14,14
46,98
23,78
89,89
86,86
83,27
54,87
27,27
41,58
96,6
1,1
81,81
79,79
30,17
17,17
14,14
67,88
20,20
54,38
92,85
33,43
57,12
65,65
49,49
71,71
59,59
85,33
22,22
31,31
85,85
17,5
42,42
62,62
26,58
60,60
27,27
57,21
19,69
97,3
88,88
10,93
31,54
23,23
84,30
74,74
63,63
94,65
77,77
90,90
60,93
5,50
1,1
61,61
95,95
32,32
95,95
57,25
32,18
23,19
39,46
45,45
41,41
69,10
89,89
45,2
47,49
57,57
11,11
48,48
74,39
2,2
11,72
95,95
50,50
37,37
59,59
71,48
84,84
89,89
84,84
70,70
16,16
71,98
8,39
48,48
31,92
98,13
32,32
2,2
74,82
62,62
71,71
90,41
34,39
51,51
0,0
12,12
26,26
57,57
62,62
57,57
31,65
65,65
32,32
16,16
35,5
98,50
11,63
87,28
38,38
52,52
89,89
40,40
76,76
7,7
54,54
76,67
30,30
59,59
84,84
3,37
91,91
46,87
65,65
43,43
49,49
6,6
33,33
5,5
14,35
77,77
44,68
68,68
82,82
94,5
66,66
73,73
56,56
89,12
53,81
22,22
69,59
77,77
84,67
20,20
98,91
4,8
69,69
79,79
40,40
45,45
1,1
56,20
65,35
51,56
5,53
80,80
54,54
92,72
4,4
23,56
60,40
81,24
77,77
73,73
98,98
0,0
14,14
9,9
44,50
27,24
8,8
43,43
74,74
46,62
94,25
86,84
30,30
61,61
57,57
11,11
81,81
25,25
81,70
70,70
29,86
27,27
3,3
71,29
53,44
48,15
19,19
80,77
57,57
19,19
59,59
25,25
56,56
74,74
32,7
98,98
37,37
13,73
45,45
12,12
80,80
64,64
16,16
17,17
24,24
30,30
25,86
96,96
37,53
5,66
98,98
31,31
94,94
5,5
29,29
